f3(x)=0.660133   f4(x)=0.104788
f3(x)=0.095125   f4(x)=1.095841
f3(x)=0.764430   f4(x)=0.066840
f3(x)=0.414598   f4(x)=0.292502
f3(x)=0.951147   f4(x)=0.033265
f3(x)=0.095126   f4(x)=1.184591
f3(x)=0.951147   f4(x)=0.030626
f3(x)=0.095116   f4(x)=1.096028
f3(x)=0.951147   f4(x)=0.030659
f3(x)=0.903611   f4(x)=0.040542
f3(x)=0.546959   f4(x)=0.169495
f3(x)=0.598137   f4(x)=0.134086
f3(x)=0.245306   f4(x)=0.585125
f3(x)=0.236231   f4(x)=0.607644
f3(x)=0.190108   f4(x)=0.736818
f3(x)=0.738859   f4(x)=0.074369
f3(x)=0.104145   f4(x)=1.069662
f3(x)=0.262782   f4(x)=0.543856
f3(x)=0.267458   f4(x)=0.534129
f3(x)=0.834833   f4(x)=0.049808
f3(x)=0.841141   f4(x)=0.052394
f3(x)=0.114763   f4(x)=1.009507
f3(x)=0.470894   f4(x)=0.248204
f3(x)=0.471169   f4(x)=0.227639
f3(x)=0.476208   f4(x)=0.222896
f3(x)=0.701159   f4(x)=0.095345
f3(x)=0.404195   f4(x)=0.301485
f3(x)=0.501492   f4(x)=0.200548
f3(x)=0.456244   f4(x)=0.263642
f3(x)=0.494362   f4(x)=0.207228
f3(x)=0.791333   f4(x)=0.064850
f3(x)=0.232895   f4(x)=0.635791
f3(x)=0.201572   f4(x)=0.708235
f3(x)=0.573626   f4(x)=0.148609
f3(x)=0.218258   f4(x)=0.655041
f3(x)=0.161401   f4(x)=0.842119
f3(x)=0.916130   f4(x)=0.036995
f3(x)=0.342624   f4(x)=0.402476
f3(x)=0.200822   f4(x)=0.705266
f3(x)=0.655801   f4(x)=0.105230
f3(x)=0.212526   f4(x)=0.671327
f3(x)=0.166286   f4(x)=0.825357
f3(x)=0.523428   f4(x)=0.182976
f3(x)=0.137884   f4(x)=0.936771
f3(x)=0.182942   f4(x)=0.788354
f3(x)=0.117848   f4(x)=1.087922
f3(x)=0.301446   f4(x)=0.469327
f3(x)=0.281109   f4(x)=0.508232
f3(x)=0.186835   f4(x)=0.754080
f3(x)=0.576044   f4(x)=0.147125
f3(x)=0.377258   f4(x)=0.338977
f3(x)=0.641880   f4(x)=0.121802
f3(x)=0.166378   f4(x)=0.885204
f3(x)=0.849354   f4(x)=0.046870
f3(x)=0.166723   f4(x)=0.878028
f3(x)=0.534189   f4(x)=0.174947
f3(x)=0.095125   f4(x)=1.110846
f3(x)=0.680064   f4(x)=0.095095
f3(x)=0.146658   f4(x)=0.891114
f3(x)=0.885603   f4(x)=0.040404
f3(x)=0.376370   f4(x)=0.363845
f3(x)=0.120039   f4(x)=0.989865
f3(x)=0.911982   f4(x)=0.037294
f3(x)=0.170754   f4(x)=0.798988
f3(x)=0.375728   f4(x)=0.339693
f3(x)=0.118190   f4(x)=1.083015
f3(x)=0.818775   f4(x)=0.055976
f3(x)=0.187976   f4(x)=0.772686
f3(x)=0.636123   f4(x)=0.124044
f3(x)=0.144827   f4(x)=0.969748
f3(x)=0.299061   f4(x)=0.490792
f3(x)=0.095125   f4(x)=1.150350
f3(x)=0.396280   f4(x)=0.315843
f3(x)=0.825540   f4(x)=0.055969
f3(x)=0.798325   f4(x)=0.058814
f3(x)=0.181213   f4(x)=0.766010
f3(x)=0.354399   f4(x)=0.374300
f3(x)=0.611822   f4(x)=0.138744
f3(x)=0.138730   f4(x)=0.922057
f3(x)=0.869740   f4(x)=0.043038
f3(x)=0.697189   f4(x)=0.091548
f3(x)=0.491572   f4(x)=0.213338
f3(x)=0.300806   f4(x)=0.508297
f3(x)=0.307108   f4(x)=0.494880
f3(x)=0.938546   f4(x)=0.032808
f3(x)=0.368123   f4(x)=0.366523
f3(x)=0.315699   f4(x)=0.451775
f3(x)=0.325775   f4(x)=0.418438
f3(x)=0.308392   f4(x)=0.487502
f3(x)=0.399007   f4(x)=0.319563
f3(x)=0.188871   f4(x)=0.747541
f3(x)=0.103691   f4(x)=1.151344
f3(x)=0.150567   f4(x)=0.871365
f3(x)=0.397924   f4(x)=0.337653
f3(x)=0.339561   f4(x)=0.427229
f3(x)=0.116508   f4(x)=1.101730
f3(x)=0.095663   f4(x)=1.131586
f3(x)=0.529500   f4(x)=0.181029
f3(x)=0.311774   f4(x)=0.452214
f3(x)=0.126736   f4(x)=0.962718
