f3(x)=0.660133   f5(x)=0.125171
f3(x)=0.095125   f5(x)=1.313913
f3(x)=0.764430   f5(x)=0.024687
f3(x)=0.414598   f5(x)=0.245605
f3(x)=0.951147   f5(x)=0.730380
f3(x)=0.095126   f5(x)=2.878954
f3(x)=0.951147   f5(x)=0.975398
f3(x)=0.095116   f5(x)=0.963153
f3(x)=0.951147   f5(x)=3.073436
f3(x)=0.903611   f5(x)=2.826145
f3(x)=0.546959   f5(x)=0.695284
f3(x)=0.598137   f5(x)=2.934389
f3(x)=0.245306   f5(x)=0.333829
f3(x)=0.236231   f5(x)=1.797934
f3(x)=0.190108   f5(x)=1.204677
f3(x)=0.738859   f5(x)=1.463181
f3(x)=0.104145   f5(x)=1.392583
f3(x)=0.262782   f5(x)=0.261860
f3(x)=0.267458   f5(x)=2.537763
f3(x)=0.834833   f5(x)=0.115172
f3(x)=0.841141   f5(x)=2.749377
f3(x)=0.114763   f5(x)=0.962699
f3(x)=0.470894   f5(x)=0.343496
f3(x)=0.471169   f5(x)=2.164251
f3(x)=0.476208   f5(x)=2.000933
f3(x)=0.701159   f5(x)=1.949217
f3(x)=0.404195   f5(x)=0.652552
f3(x)=0.501492   f5(x)=1.806364
f3(x)=0.456244   f5(x)=2.357771
f3(x)=0.494362   f5(x)=0.133203
f3(x)=0.791333   f5(x)=2.708203
f3(x)=0.232895   f5(x)=3.059400
f3(x)=0.201572   f5(x)=0.763744
f3(x)=0.573626   f5(x)=0.197673
f3(x)=0.218258   f5(x)=2.971618
f3(x)=0.161401   f5(x)=1.158360
f3(x)=0.916130   f5(x)=0.083231
f3(x)=0.342624   f5(x)=0.362557
f3(x)=0.200822   f5(x)=0.501988
f3(x)=0.655801   f5(x)=1.176856
f3(x)=0.212526   f5(x)=2.300627
f3(x)=0.166286   f5(x)=2.126549
f3(x)=0.523428   f5(x)=0.412306
f3(x)=0.137884   f5(x)=2.450278
f3(x)=0.182942   f5(x)=1.728564
f3(x)=0.117848   f5(x)=1.334857
f3(x)=0.301446   f5(x)=0.452079
f3(x)=0.281109   f5(x)=0.386374
f3(x)=0.186835   f5(x)=1.068980
f3(x)=0.576044   f5(x)=0.117963
f3(x)=0.377258   f5(x)=3.033516
f3(x)=0.641880   f5(x)=0.403015
f3(x)=0.166378   f5(x)=1.674961
f3(x)=0.849354   f5(x)=0.052889
f3(x)=0.166723   f5(x)=0.669390
f3(x)=0.534189   f5(x)=0.928273
f3(x)=0.095125   f5(x)=2.133820
f3(x)=0.680064   f5(x)=0.979777
f3(x)=0.146658   f5(x)=0.550804
f3(x)=0.885603   f5(x)=0.580346
f3(x)=0.376370   f5(x)=0.328600
f3(x)=0.120039   f5(x)=0.864551
f3(x)=0.911982   f5(x)=0.830849
f3(x)=0.170754   f5(x)=0.629963
f3(x)=0.375728   f5(x)=0.606687
f3(x)=0.118190   f5(x)=2.290620
f3(x)=0.818775   f5(x)=0.101461
f3(x)=0.187976   f5(x)=1.014455
f3(x)=0.636123   f5(x)=0.328843
f3(x)=0.144827   f5(x)=0.827414
f3(x)=0.299061   f5(x)=1.609008
f3(x)=0.095125   f5(x)=1.124384
f3(x)=0.396280   f5(x)=0.725348
f3(x)=0.825540   f5(x)=0.297745
f3(x)=0.798325   f5(x)=0.203172
f3(x)=0.181213   f5(x)=0.468637
f3(x)=0.354399   f5(x)=1.665987
f3(x)=0.611822   f5(x)=0.642523
f3(x)=0.138730   f5(x)=0.632602
f3(x)=0.869740   f5(x)=0.525754
f3(x)=0.697189   f5(x)=2.969939
f3(x)=0.491572   f5(x)=0.148626
f3(x)=0.300806   f5(x)=0.381425
f3(x)=0.307108   f5(x)=0.423408
f3(x)=0.938546   f5(x)=0.107846
f3(x)=0.368123   f5(x)=1.855276
f3(x)=0.315699   f5(x)=0.764746
f3(x)=0.325775   f5(x)=1.128934
f3(x)=0.308392   f5(x)=2.488224
f3(x)=0.399007   f5(x)=2.089090
f3(x)=0.188871   f5(x)=1.600923
f3(x)=0.103691   f5(x)=1.032063
f3(x)=0.150567   f5(x)=0.580860
f3(x)=0.397924   f5(x)=0.496711
f3(x)=0.339561   f5(x)=0.508051
f3(x)=0.116508   f5(x)=1.438798
f3(x)=0.095663   f5(x)=1.040444
f3(x)=0.529500   f5(x)=0.646279
f3(x)=0.311774   f5(x)=2.075413
f3(x)=0.126736   f5(x)=2.608876
