f1(x)=0.879166   f5(x)=0.125171
f1(x)=0.798005   f5(x)=1.313913
f1(x)=0.891946   f5(x)=0.024687
f1(x)=0.844766   f5(x)=0.245605
f1(x)=0.929274   f5(x)=0.730380
f1(x)=0.808505   f5(x)=2.878954
f1(x)=0.918130   f5(x)=0.975398
f1(x)=0.798021   f5(x)=0.963153
f1(x)=0.918275   f5(x)=3.073436
f1(x)=0.922491   f5(x)=2.826145
f1(x)=0.864352   f5(x)=0.695284
f1(x)=0.868775   f5(x)=2.934389
f1(x)=0.819103   f5(x)=0.333829
f1(x)=0.817807   f5(x)=1.797934
f1(x)=0.811335   f5(x)=1.204677
f1(x)=0.888341   f5(x)=1.463181
f1(x)=0.801093   f5(x)=1.392583
f1(x)=0.821541   f5(x)=0.261860
f1(x)=0.822399   f5(x)=2.537763
f1(x)=0.901840   f5(x)=0.115172
f1(x)=0.913102   f5(x)=2.749377
f1(x)=0.800762   f5(x)=0.962699
f1(x)=0.862245   f5(x)=0.343496
f1(x)=0.850778   f5(x)=2.164251
f1(x)=0.851485   f5(x)=2.000933
f1(x)=0.895306   f5(x)=1.949217
f1(x)=0.841523   f5(x)=0.652552
f1(x)=0.855035   f5(x)=1.806364
f1(x)=0.860070   f5(x)=2.357771
f1(x)=0.854434   f5(x)=0.133203
f1(x)=0.906805   f5(x)=2.708203
f1(x)=0.821565   f5(x)=3.059400
f1(x)=0.814069   f5(x)=0.763744
f1(x)=0.865389   f5(x)=0.197673
f1(x)=0.815285   f5(x)=2.971618
f1(x)=0.809142   f5(x)=1.158360
f1(x)=0.918959   f5(x)=0.083231
f1(x)=0.837143   f5(x)=0.362557
f1(x)=0.812975   f5(x)=0.501988
f1(x)=0.876686   f5(x)=1.176856
f1(x)=0.814562   f5(x)=2.300627
f1(x)=0.809869   f5(x)=2.126549
f1(x)=0.858110   f5(x)=0.412306
f1(x)=0.806952   f5(x)=2.450278
f1(x)=0.815406   f5(x)=1.728564
f1(x)=0.813019   f5(x)=1.334857
f1(x)=0.828881   f5(x)=0.452079
f1(x)=0.825305   f5(x)=0.386374
f1(x)=0.812154   f5(x)=1.068980
f1(x)=0.865738   f5(x)=0.117963
f1(x)=0.838368   f5(x)=3.033516
f1(x)=0.886605   f5(x)=0.403015
f1(x)=0.819371   f5(x)=1.674961
f1(x)=0.903862   f5(x)=0.052889
f1(x)=0.818517   f5(x)=0.669390
f1(x)=0.859633   f5(x)=0.928273
f1(x)=0.799838   f5(x)=2.133820
f1(x)=0.880106   f5(x)=0.979777
f1(x)=0.806390   f5(x)=0.550804
f1(x)=0.909357   f5(x)=0.580346
f1(x)=0.847288   f5(x)=0.328600
f1(x)=0.801826   f5(x)=0.864551
f1(x)=0.917123   f5(x)=0.830849
f1(x)=0.808636   f5(x)=0.629963
f1(x)=0.837576   f5(x)=0.606687
f1(x)=0.812650   f5(x)=2.290620
f1(x)=0.906278   f5(x)=0.101461
f1(x)=0.816243   f5(x)=1.014455
f1(x)=0.885013   f5(x)=0.328843
f1(x)=0.816503   f5(x)=0.827414
f1(x)=0.833232   f5(x)=1.609008
f1(x)=0.804550   f5(x)=1.124384
f1(x)=0.842225   f5(x)=0.725348
f1(x)=0.911023   f5(x)=0.297745
f1(x)=0.898555   f5(x)=0.203172
f1(x)=0.810313   f5(x)=0.468637
f1(x)=0.835645   f5(x)=1.665987
f1(x)=0.883010   f5(x)=0.642523
f1(x)=0.805413   f5(x)=0.632602
f1(x)=0.906708   f5(x)=0.525754
f1(x)=0.887034   f5(x)=2.969939
f1(x)=0.856388   f5(x)=0.148626
f1(x)=0.839185   f5(x)=0.381425
f1(x)=0.840013   f5(x)=0.423408
f1(x)=0.918539   f5(x)=0.107846
f1(x)=0.842472   f5(x)=1.855276
f1(x)=0.833773   f5(x)=0.764746
f1(x)=0.830529   f5(x)=1.128934
f1(x)=0.838892   f5(x)=2.488224
f1(x)=0.845722   f5(x)=2.089090
f1(x)=0.812412   f5(x)=1.600923
f1(x)=0.810695   f5(x)=1.032063
f1(x)=0.806119   f5(x)=0.580860
f1(x)=0.852385   f5(x)=0.496711
f1(x)=0.843034   f5(x)=0.508051
f1(x)=0.813776   f5(x)=1.438798
f1(x)=0.802711   f5(x)=1.040444
f1(x)=0.860941   f5(x)=0.646279
f1(x)=0.831141   f5(x)=2.075413
f1(x)=0.802790   f5(x)=2.608876
