f1(x)=0.879166   f2(x)=0.628632
f1(x)=0.798005   f2(x)=0.616275
f1(x)=0.891946   f2(x)=0.900000
f1(x)=0.844766   f2(x)=0.624951
f1(x)=0.929274   f2(x)=0.124623
f1(x)=0.808505   f2(x)=0.304457
f1(x)=0.918130   f2(x)=0.081115
f1(x)=0.798021   f2(x)=0.820680
f1(x)=0.918275   f2(x)=0.027428
f1(x)=0.922491   f2(x)=0.032727
f1(x)=0.864352   f2(x)=0.199600
f1(x)=0.868775   f2(x)=0.045625
f1(x)=0.819103   f2(x)=0.784865
f1(x)=0.817807   f2(x)=0.184729
f1(x)=0.811335   f2(x)=0.334277
f1(x)=0.888341   f2(x)=0.071746
f1(x)=0.801093   f2(x)=0.540804
f1(x)=0.821541   f2(x)=0.879872
f1(x)=0.822399   f2(x)=0.117430
f1(x)=0.901840   f2(x)=0.470373
f1(x)=0.913102   f2(x)=0.036056
f1(x)=0.800762   f2(x)=0.680350
f1(x)=0.862245   f2(x)=0.573427
f1(x)=0.850778   f2(x)=0.077605
f1(x)=0.851485   f2(x)=0.082766
f1(x)=0.895306   f2(x)=0.061926
f1(x)=0.841523   f2(x)=0.273865
f1(x)=0.855035   f2(x)=0.086634
f1(x)=0.860070   f2(x)=0.078010
f1(x)=0.854434   f2(x)=0.745713
f1(x)=0.906805   f2(x)=0.039030
f1(x)=0.821565   f2(x)=0.114226
f1(x)=0.814069   f2(x)=0.484363
f1(x)=0.865389   f2(x)=0.495767
f1(x)=0.815285   f2(x)=0.123433
f1(x)=0.809142   f2(x)=0.415304
f1(x)=0.918959   f2(x)=0.802173
f1(x)=0.837143   f2(x)=0.592256
f1(x)=0.812975   f2(x)=0.690353
f1(x)=0.876686   f2(x)=0.099021
f1(x)=0.814562   f2(x)=0.162321
f1(x)=0.809869   f2(x)=0.225828
f1(x)=0.858110   f2(x)=0.310812
f1(x)=0.806952   f2(x)=0.238586
f1(x)=0.815406   f2(x)=0.255846
f1(x)=0.813019   f2(x)=0.541985
f1(x)=0.828881   f2(x)=0.521671
f1(x)=0.825305   f2(x)=0.627957
f1(x)=0.812154   f2(x)=0.384648
f1(x)=0.865738   f2(x)=0.680664
f1(x)=0.838368   f2(x)=0.070198
f1(x)=0.886605   f2(x)=0.356305
f1(x)=0.819371   f2(x)=0.303000
f1(x)=0.903862   f2(x)=0.655908
f1(x)=0.818517   f2(x)=0.769622
f1(x)=0.859633   f2(x)=0.151101
f1(x)=0.799838   f2(x)=0.393374
f1(x)=0.880106   f2(x)=0.113007
f1(x)=0.806390   f2(x)=0.889979
f1(x)=0.909357   f2(x)=0.139041
f1(x)=0.847288   f2(x)=0.706645
f1(x)=0.801826   f2(x)=0.719741
f1(x)=0.917123   f2(x)=0.103603
f1(x)=0.808636   f2(x)=0.667128
f1(x)=0.837576   f2(x)=0.314148
f1(x)=0.812650   f2(x)=0.310139
f1(x)=0.906278   f2(x)=0.845826
f1(x)=0.816243   f2(x)=0.418717
f1(x)=0.885013   f2(x)=0.438553
f1(x)=0.816503   f2(x)=0.722438
f1(x)=0.833232   f2(x)=0.169699
f1(x)=0.804550   f2(x)=0.759115
f1(x)=0.842225   f2(x)=0.261198
f1(x)=0.911023   f2(x)=0.368388
f1(x)=0.898555   f2(x)=0.373442
f1(x)=0.810313   f2(x)=0.811912
f1(x)=0.835645   f2(x)=0.133457
f1(x)=0.883010   f2(x)=0.227520
f1(x)=0.805413   f2(x)=0.835012
f1(x)=0.906708   f2(x)=0.152901
f1(x)=0.887034   f2(x)=0.039336
f1(x)=0.856388   f2(x)=0.791264
f1(x)=0.839185   f2(x)=0.820994
f1(x)=0.840013   f2(x)=0.713268
f1(x)=0.918539   f2(x)=0.493807
f1(x)=0.842472   f2(x)=0.119418
f1(x)=0.833773   f2(x)=0.325275
f1(x)=0.830529   f2(x)=0.207441
f1(x)=0.838892   f2(x)=0.109049
f1(x)=0.845722   f2(x)=0.097409
f1(x)=0.812412   f2(x)=0.260099
f1(x)=0.810695   f2(x)=0.801051
f1(x)=0.806119   f2(x)=0.815925
f1(x)=0.852385   f2(x)=0.456549
f1(x)=0.843034   f2(x)=0.507399
f1(x)=0.813776   f2(x)=0.511449
f1(x)=0.802711   f2(x)=0.797939
f1(x)=0.860941   f2(x)=0.217046
f1(x)=0.831141   f2(x)=0.123883
f1(x)=0.802790   f2(x)=0.241440
