f1(x)=0.879166   f3(x)=0.660133
f1(x)=0.798005   f3(x)=0.095125
f1(x)=0.891946   f3(x)=0.764430
f1(x)=0.844766   f3(x)=0.414598
f1(x)=0.929274   f3(x)=0.951147
f1(x)=0.808505   f3(x)=0.095126
f1(x)=0.918130   f3(x)=0.951147
f1(x)=0.798021   f3(x)=0.095116
f1(x)=0.918275   f3(x)=0.951147
f1(x)=0.922491   f3(x)=0.903611
f1(x)=0.864352   f3(x)=0.546959
f1(x)=0.868775   f3(x)=0.598137
f1(x)=0.819103   f3(x)=0.245306
f1(x)=0.817807   f3(x)=0.236231
f1(x)=0.811335   f3(x)=0.190108
f1(x)=0.888341   f3(x)=0.738859
f1(x)=0.801093   f3(x)=0.104145
f1(x)=0.821541   f3(x)=0.262782
f1(x)=0.822399   f3(x)=0.267458
f1(x)=0.901840   f3(x)=0.834833
f1(x)=0.913102   f3(x)=0.841141
f1(x)=0.800762   f3(x)=0.114763
f1(x)=0.862245   f3(x)=0.470894
f1(x)=0.850778   f3(x)=0.471169
f1(x)=0.851485   f3(x)=0.476208
f1(x)=0.895306   f3(x)=0.701159
f1(x)=0.841523   f3(x)=0.404195
f1(x)=0.855035   f3(x)=0.501492
f1(x)=0.860070   f3(x)=0.456244
f1(x)=0.854434   f3(x)=0.494362
f1(x)=0.906805   f3(x)=0.791333
f1(x)=0.821565   f3(x)=0.232895
f1(x)=0.814069   f3(x)=0.201572
f1(x)=0.865389   f3(x)=0.573626
f1(x)=0.815285   f3(x)=0.218258
f1(x)=0.809142   f3(x)=0.161401
f1(x)=0.918959   f3(x)=0.916130
f1(x)=0.837143   f3(x)=0.342624
f1(x)=0.812975   f3(x)=0.200822
f1(x)=0.876686   f3(x)=0.655801
f1(x)=0.814562   f3(x)=0.212526
f1(x)=0.809869   f3(x)=0.166286
f1(x)=0.858110   f3(x)=0.523428
f1(x)=0.806952   f3(x)=0.137884
f1(x)=0.815406   f3(x)=0.182942
f1(x)=0.813019   f3(x)=0.117848
f1(x)=0.828881   f3(x)=0.301446
f1(x)=0.825305   f3(x)=0.281109
f1(x)=0.812154   f3(x)=0.186835
f1(x)=0.865738   f3(x)=0.576044
f1(x)=0.838368   f3(x)=0.377258
f1(x)=0.886605   f3(x)=0.641880
f1(x)=0.819371   f3(x)=0.166378
f1(x)=0.903862   f3(x)=0.849354
f1(x)=0.818517   f3(x)=0.166723
f1(x)=0.859633   f3(x)=0.534189
f1(x)=0.799838   f3(x)=0.095125
f1(x)=0.880106   f3(x)=0.680064
f1(x)=0.806390   f3(x)=0.146658
f1(x)=0.909357   f3(x)=0.885603
f1(x)=0.847288   f3(x)=0.376370
f1(x)=0.801826   f3(x)=0.120039
f1(x)=0.917123   f3(x)=0.911982
f1(x)=0.808636   f3(x)=0.170754
f1(x)=0.837576   f3(x)=0.375728
f1(x)=0.812650   f3(x)=0.118190
f1(x)=0.906278   f3(x)=0.818775
f1(x)=0.816243   f3(x)=0.187976
f1(x)=0.885013   f3(x)=0.636123
f1(x)=0.816503   f3(x)=0.144827
f1(x)=0.833232   f3(x)=0.299061
f1(x)=0.804550   f3(x)=0.095125
f1(x)=0.842225   f3(x)=0.396280
f1(x)=0.911023   f3(x)=0.825540
f1(x)=0.898555   f3(x)=0.798325
f1(x)=0.810313   f3(x)=0.181213
f1(x)=0.835645   f3(x)=0.354399
f1(x)=0.883010   f3(x)=0.611822
f1(x)=0.805413   f3(x)=0.138730
f1(x)=0.906708   f3(x)=0.869740
f1(x)=0.887034   f3(x)=0.697189
f1(x)=0.856388   f3(x)=0.491572
f1(x)=0.839185   f3(x)=0.300806
f1(x)=0.840013   f3(x)=0.307108
f1(x)=0.918539   f3(x)=0.938546
f1(x)=0.842472   f3(x)=0.368123
f1(x)=0.833773   f3(x)=0.315699
f1(x)=0.830529   f3(x)=0.325775
f1(x)=0.838892   f3(x)=0.308392
f1(x)=0.845722   f3(x)=0.399007
f1(x)=0.812412   f3(x)=0.188871
f1(x)=0.810695   f3(x)=0.103691
f1(x)=0.806119   f3(x)=0.150567
f1(x)=0.852385   f3(x)=0.397924
f1(x)=0.843034   f3(x)=0.339561
f1(x)=0.813776   f3(x)=0.116508
f1(x)=0.802711   f3(x)=0.095663
f1(x)=0.860941   f3(x)=0.529500
f1(x)=0.831141   f3(x)=0.311774
f1(x)=0.802790   f3(x)=0.126736
