f4(x)=0.104788   f5(x)=0.125171
f4(x)=1.095841   f5(x)=1.313913
f4(x)=0.066840   f5(x)=0.024687
f4(x)=0.292502   f5(x)=0.245605
f4(x)=0.033265   f5(x)=0.730380
f4(x)=1.184591   f5(x)=2.878954
f4(x)=0.030626   f5(x)=0.975398
f4(x)=1.096028   f5(x)=0.963153
f4(x)=0.030659   f5(x)=3.073436
f4(x)=0.040542   f5(x)=2.826145
f4(x)=0.169495   f5(x)=0.695284
f4(x)=0.134086   f5(x)=2.934389
f4(x)=0.585125   f5(x)=0.333829
f4(x)=0.607644   f5(x)=1.797934
f4(x)=0.736818   f5(x)=1.204677
f4(x)=0.074369   f5(x)=1.463181
f4(x)=1.069662   f5(x)=1.392583
f4(x)=0.543856   f5(x)=0.261860
f4(x)=0.534129   f5(x)=2.537763
f4(x)=0.049808   f5(x)=0.115172
f4(x)=0.052394   f5(x)=2.749377
f4(x)=1.009507   f5(x)=0.962699
f4(x)=0.248204   f5(x)=0.343496
f4(x)=0.227639   f5(x)=2.164251
f4(x)=0.222896   f5(x)=2.000933
f4(x)=0.095345   f5(x)=1.949217
f4(x)=0.301485   f5(x)=0.652552
f4(x)=0.200548   f5(x)=1.806364
f4(x)=0.263642   f5(x)=2.357771
f4(x)=0.207228   f5(x)=0.133203
f4(x)=0.064850   f5(x)=2.708203
f4(x)=0.635791   f5(x)=3.059400
f4(x)=0.708235   f5(x)=0.763744
f4(x)=0.148609   f5(x)=0.197673
f4(x)=0.655041   f5(x)=2.971618
f4(x)=0.842119   f5(x)=1.158360
f4(x)=0.036995   f5(x)=0.083231
f4(x)=0.402476   f5(x)=0.362557
f4(x)=0.705266   f5(x)=0.501988
f4(x)=0.105230   f5(x)=1.176856
f4(x)=0.671327   f5(x)=2.300627
f4(x)=0.825357   f5(x)=2.126549
f4(x)=0.182976   f5(x)=0.412306
f4(x)=0.936771   f5(x)=2.450278
f4(x)=0.788354   f5(x)=1.728564
f4(x)=1.087922   f5(x)=1.334857
f4(x)=0.469327   f5(x)=0.452079
f4(x)=0.508232   f5(x)=0.386374
f4(x)=0.754080   f5(x)=1.068980
f4(x)=0.147125   f5(x)=0.117963
f4(x)=0.338977   f5(x)=3.033516
f4(x)=0.121802   f5(x)=0.403015
f4(x)=0.885204   f5(x)=1.674961
f4(x)=0.046870   f5(x)=0.052889
f4(x)=0.878028   f5(x)=0.669390
f4(x)=0.174947   f5(x)=0.928273
f4(x)=1.110846   f5(x)=2.133820
f4(x)=0.095095   f5(x)=0.979777
f4(x)=0.891114   f5(x)=0.550804
f4(x)=0.040404   f5(x)=0.580346
f4(x)=0.363845   f5(x)=0.328600
f4(x)=0.989865   f5(x)=0.864551
f4(x)=0.037294   f5(x)=0.830849
f4(x)=0.798988   f5(x)=0.629963
f4(x)=0.339693   f5(x)=0.606687
f4(x)=1.083015   f5(x)=2.290620
f4(x)=0.055976   f5(x)=0.101461
f4(x)=0.772686   f5(x)=1.014455
f4(x)=0.124044   f5(x)=0.328843
f4(x)=0.969748   f5(x)=0.827414
f4(x)=0.490792   f5(x)=1.609008
f4(x)=1.150350   f5(x)=1.124384
f4(x)=0.315843   f5(x)=0.725348
f4(x)=0.055969   f5(x)=0.297745
f4(x)=0.058814   f5(x)=0.203172
f4(x)=0.766010   f5(x)=0.468637
f4(x)=0.374300   f5(x)=1.665987
f4(x)=0.138744   f5(x)=0.642523
f4(x)=0.922057   f5(x)=0.632602
f4(x)=0.043038   f5(x)=0.525754
f4(x)=0.091548   f5(x)=2.969939
f4(x)=0.213338   f5(x)=0.148626
f4(x)=0.508297   f5(x)=0.381425
f4(x)=0.494880   f5(x)=0.423408
f4(x)=0.032808   f5(x)=0.107846
f4(x)=0.366523   f5(x)=1.855276
f4(x)=0.451775   f5(x)=0.764746
f4(x)=0.418438   f5(x)=1.128934
f4(x)=0.487502   f5(x)=2.488224
f4(x)=0.319563   f5(x)=2.089090
f4(x)=0.747541   f5(x)=1.600923
f4(x)=1.151344   f5(x)=1.032063
f4(x)=0.871365   f5(x)=0.580860
f4(x)=0.337653   f5(x)=0.496711
f4(x)=0.427229   f5(x)=0.508051
f4(x)=1.101730   f5(x)=1.438798
f4(x)=1.131586   f5(x)=1.040444
f4(x)=0.181029   f5(x)=0.646279
f4(x)=0.452214   f5(x)=2.075413
f4(x)=0.962718   f5(x)=2.608876
