f2(x)=0.628632   f3(x)=0.660133
f2(x)=0.616275   f3(x)=0.095125
f2(x)=0.900000   f3(x)=0.764430
f2(x)=0.624951   f3(x)=0.414598
f2(x)=0.124623   f3(x)=0.951147
f2(x)=0.304457   f3(x)=0.095126
f2(x)=0.081115   f3(x)=0.951147
f2(x)=0.820680   f3(x)=0.095116
f2(x)=0.027428   f3(x)=0.951147
f2(x)=0.032727   f3(x)=0.903611
f2(x)=0.199600   f3(x)=0.546959
f2(x)=0.045625   f3(x)=0.598137
f2(x)=0.784865   f3(x)=0.245306
f2(x)=0.184729   f3(x)=0.236231
f2(x)=0.334277   f3(x)=0.190108
f2(x)=0.071746   f3(x)=0.738859
f2(x)=0.540804   f3(x)=0.104145
f2(x)=0.879872   f3(x)=0.262782
f2(x)=0.117430   f3(x)=0.267458
f2(x)=0.470373   f3(x)=0.834833
f2(x)=0.036056   f3(x)=0.841141
f2(x)=0.680350   f3(x)=0.114763
f2(x)=0.573427   f3(x)=0.470894
f2(x)=0.077605   f3(x)=0.471169
f2(x)=0.082766   f3(x)=0.476208
f2(x)=0.061926   f3(x)=0.701159
f2(x)=0.273865   f3(x)=0.404195
f2(x)=0.086634   f3(x)=0.501492
f2(x)=0.078010   f3(x)=0.456244
f2(x)=0.745713   f3(x)=0.494362
f2(x)=0.039030   f3(x)=0.791333
f2(x)=0.114226   f3(x)=0.232895
f2(x)=0.484363   f3(x)=0.201572
f2(x)=0.495767   f3(x)=0.573626
f2(x)=0.123433   f3(x)=0.218258
f2(x)=0.415304   f3(x)=0.161401
f2(x)=0.802173   f3(x)=0.916130
f2(x)=0.592256   f3(x)=0.342624
f2(x)=0.690353   f3(x)=0.200822
f2(x)=0.099021   f3(x)=0.655801
f2(x)=0.162321   f3(x)=0.212526
f2(x)=0.225828   f3(x)=0.166286
f2(x)=0.310812   f3(x)=0.523428
f2(x)=0.238586   f3(x)=0.137884
f2(x)=0.255846   f3(x)=0.182942
f2(x)=0.541985   f3(x)=0.117848
f2(x)=0.521671   f3(x)=0.301446
f2(x)=0.627957   f3(x)=0.281109
f2(x)=0.384648   f3(x)=0.186835
f2(x)=0.680664   f3(x)=0.576044
f2(x)=0.070198   f3(x)=0.377258
f2(x)=0.356305   f3(x)=0.641880
f2(x)=0.303000   f3(x)=0.166378
f2(x)=0.655908   f3(x)=0.849354
f2(x)=0.769622   f3(x)=0.166723
f2(x)=0.151101   f3(x)=0.534189
f2(x)=0.393374   f3(x)=0.095125
f2(x)=0.113007   f3(x)=0.680064
f2(x)=0.889979   f3(x)=0.146658
f2(x)=0.139041   f3(x)=0.885603
f2(x)=0.706645   f3(x)=0.376370
f2(x)=0.719741   f3(x)=0.120039
f2(x)=0.103603   f3(x)=0.911982
f2(x)=0.667128   f3(x)=0.170754
f2(x)=0.314148   f3(x)=0.375728
f2(x)=0.310139   f3(x)=0.118190
f2(x)=0.845826   f3(x)=0.818775
f2(x)=0.418717   f3(x)=0.187976
f2(x)=0.438553   f3(x)=0.636123
f2(x)=0.722438   f3(x)=0.144827
f2(x)=0.169699   f3(x)=0.299061
f2(x)=0.759115   f3(x)=0.095125
f2(x)=0.261198   f3(x)=0.396280
f2(x)=0.368388   f3(x)=0.825540
f2(x)=0.373442   f3(x)=0.798325
f2(x)=0.811912   f3(x)=0.181213
f2(x)=0.133457   f3(x)=0.354399
f2(x)=0.227520   f3(x)=0.611822
f2(x)=0.835012   f3(x)=0.138730
f2(x)=0.152901   f3(x)=0.869740
f2(x)=0.039336   f3(x)=0.697189
f2(x)=0.791264   f3(x)=0.491572
f2(x)=0.820994   f3(x)=0.300806
f2(x)=0.713268   f3(x)=0.307108
f2(x)=0.493807   f3(x)=0.938546
f2(x)=0.119418   f3(x)=0.368123
f2(x)=0.325275   f3(x)=0.315699
f2(x)=0.207441   f3(x)=0.325775
f2(x)=0.109049   f3(x)=0.308392
f2(x)=0.097409   f3(x)=0.399007
f2(x)=0.260099   f3(x)=0.188871
f2(x)=0.801051   f3(x)=0.103691
f2(x)=0.815925   f3(x)=0.150567
f2(x)=0.456549   f3(x)=0.397924
f2(x)=0.507399   f3(x)=0.339561
f2(x)=0.511449   f3(x)=0.116508
f2(x)=0.797939   f3(x)=0.095663
f2(x)=0.217046   f3(x)=0.529500
f2(x)=0.123883   f3(x)=0.311774
f2(x)=0.241440   f3(x)=0.126736
