f2(x)=0.628632   f4(x)=0.104788
f2(x)=0.616275   f4(x)=1.095841
f2(x)=0.900000   f4(x)=0.066840
f2(x)=0.624951   f4(x)=0.292502
f2(x)=0.124623   f4(x)=0.033265
f2(x)=0.304457   f4(x)=1.184591
f2(x)=0.081115   f4(x)=0.030626
f2(x)=0.820680   f4(x)=1.096028
f2(x)=0.027428   f4(x)=0.030659
f2(x)=0.032727   f4(x)=0.040542
f2(x)=0.199600   f4(x)=0.169495
f2(x)=0.045625   f4(x)=0.134086
f2(x)=0.784865   f4(x)=0.585125
f2(x)=0.184729   f4(x)=0.607644
f2(x)=0.334277   f4(x)=0.736818
f2(x)=0.071746   f4(x)=0.074369
f2(x)=0.540804   f4(x)=1.069662
f2(x)=0.879872   f4(x)=0.543856
f2(x)=0.117430   f4(x)=0.534129
f2(x)=0.470373   f4(x)=0.049808
f2(x)=0.036056   f4(x)=0.052394
f2(x)=0.680350   f4(x)=1.009507
f2(x)=0.573427   f4(x)=0.248204
f2(x)=0.077605   f4(x)=0.227639
f2(x)=0.082766   f4(x)=0.222896
f2(x)=0.061926   f4(x)=0.095345
f2(x)=0.273865   f4(x)=0.301485
f2(x)=0.086634   f4(x)=0.200548
f2(x)=0.078010   f4(x)=0.263642
f2(x)=0.745713   f4(x)=0.207228
f2(x)=0.039030   f4(x)=0.064850
f2(x)=0.114226   f4(x)=0.635791
f2(x)=0.484363   f4(x)=0.708235
f2(x)=0.495767   f4(x)=0.148609
f2(x)=0.123433   f4(x)=0.655041
f2(x)=0.415304   f4(x)=0.842119
f2(x)=0.802173   f4(x)=0.036995
f2(x)=0.592256   f4(x)=0.402476
f2(x)=0.690353   f4(x)=0.705266
f2(x)=0.099021   f4(x)=0.105230
f2(x)=0.162321   f4(x)=0.671327
f2(x)=0.225828   f4(x)=0.825357
f2(x)=0.310812   f4(x)=0.182976
f2(x)=0.238586   f4(x)=0.936771
f2(x)=0.255846   f4(x)=0.788354
f2(x)=0.541985   f4(x)=1.087922
f2(x)=0.521671   f4(x)=0.469327
f2(x)=0.627957   f4(x)=0.508232
f2(x)=0.384648   f4(x)=0.754080
f2(x)=0.680664   f4(x)=0.147125
f2(x)=0.070198   f4(x)=0.338977
f2(x)=0.356305   f4(x)=0.121802
f2(x)=0.303000   f4(x)=0.885204
f2(x)=0.655908   f4(x)=0.046870
f2(x)=0.769622   f4(x)=0.878028
f2(x)=0.151101   f4(x)=0.174947
f2(x)=0.393374   f4(x)=1.110846
f2(x)=0.113007   f4(x)=0.095095
f2(x)=0.889979   f4(x)=0.891114
f2(x)=0.139041   f4(x)=0.040404
f2(x)=0.706645   f4(x)=0.363845
f2(x)=0.719741   f4(x)=0.989865
f2(x)=0.103603   f4(x)=0.037294
f2(x)=0.667128   f4(x)=0.798988
f2(x)=0.314148   f4(x)=0.339693
f2(x)=0.310139   f4(x)=1.083015
f2(x)=0.845826   f4(x)=0.055976
f2(x)=0.418717   f4(x)=0.772686
f2(x)=0.438553   f4(x)=0.124044
f2(x)=0.722438   f4(x)=0.969748
f2(x)=0.169699   f4(x)=0.490792
f2(x)=0.759115   f4(x)=1.150350
f2(x)=0.261198   f4(x)=0.315843
f2(x)=0.368388   f4(x)=0.055969
f2(x)=0.373442   f4(x)=0.058814
f2(x)=0.811912   f4(x)=0.766010
f2(x)=0.133457   f4(x)=0.374300
f2(x)=0.227520   f4(x)=0.138744
f2(x)=0.835012   f4(x)=0.922057
f2(x)=0.152901   f4(x)=0.043038
f2(x)=0.039336   f4(x)=0.091548
f2(x)=0.791264   f4(x)=0.213338
f2(x)=0.820994   f4(x)=0.508297
f2(x)=0.713268   f4(x)=0.494880
f2(x)=0.493807   f4(x)=0.032808
f2(x)=0.119418   f4(x)=0.366523
f2(x)=0.325275   f4(x)=0.451775
f2(x)=0.207441   f4(x)=0.418438
f2(x)=0.109049   f4(x)=0.487502
f2(x)=0.097409   f4(x)=0.319563
f2(x)=0.260099   f4(x)=0.747541
f2(x)=0.801051   f4(x)=1.151344
f2(x)=0.815925   f4(x)=0.871365
f2(x)=0.456549   f4(x)=0.337653
f2(x)=0.507399   f4(x)=0.427229
f2(x)=0.511449   f4(x)=1.101730
f2(x)=0.797939   f4(x)=1.131586
f2(x)=0.217046   f4(x)=0.181029
f2(x)=0.123883   f4(x)=0.452214
f2(x)=0.241440   f4(x)=0.962718
