f2(x)=0.628632   f5(x)=0.125171
f2(x)=0.616275   f5(x)=1.313913
f2(x)=0.900000   f5(x)=0.024687
f2(x)=0.624951   f5(x)=0.245605
f2(x)=0.124623   f5(x)=0.730380
f2(x)=0.304457   f5(x)=2.878954
f2(x)=0.081115   f5(x)=0.975398
f2(x)=0.820680   f5(x)=0.963153
f2(x)=0.027428   f5(x)=3.073436
f2(x)=0.032727   f5(x)=2.826145
f2(x)=0.199600   f5(x)=0.695284
f2(x)=0.045625   f5(x)=2.934389
f2(x)=0.784865   f5(x)=0.333829
f2(x)=0.184729   f5(x)=1.797934
f2(x)=0.334277   f5(x)=1.204677
f2(x)=0.071746   f5(x)=1.463181
f2(x)=0.540804   f5(x)=1.392583
f2(x)=0.879872   f5(x)=0.261860
f2(x)=0.117430   f5(x)=2.537763
f2(x)=0.470373   f5(x)=0.115172
f2(x)=0.036056   f5(x)=2.749377
f2(x)=0.680350   f5(x)=0.962699
f2(x)=0.573427   f5(x)=0.343496
f2(x)=0.077605   f5(x)=2.164251
f2(x)=0.082766   f5(x)=2.000933
f2(x)=0.061926   f5(x)=1.949217
f2(x)=0.273865   f5(x)=0.652552
f2(x)=0.086634   f5(x)=1.806364
f2(x)=0.078010   f5(x)=2.357771
f2(x)=0.745713   f5(x)=0.133203
f2(x)=0.039030   f5(x)=2.708203
f2(x)=0.114226   f5(x)=3.059400
f2(x)=0.484363   f5(x)=0.763744
f2(x)=0.495767   f5(x)=0.197673
f2(x)=0.123433   f5(x)=2.971618
f2(x)=0.415304   f5(x)=1.158360
f2(x)=0.802173   f5(x)=0.083231
f2(x)=0.592256   f5(x)=0.362557
f2(x)=0.690353   f5(x)=0.501988
f2(x)=0.099021   f5(x)=1.176856
f2(x)=0.162321   f5(x)=2.300627
f2(x)=0.225828   f5(x)=2.126549
f2(x)=0.310812   f5(x)=0.412306
f2(x)=0.238586   f5(x)=2.450278
f2(x)=0.255846   f5(x)=1.728564
f2(x)=0.541985   f5(x)=1.334857
f2(x)=0.521671   f5(x)=0.452079
f2(x)=0.627957   f5(x)=0.386374
f2(x)=0.384648   f5(x)=1.068980
f2(x)=0.680664   f5(x)=0.117963
f2(x)=0.070198   f5(x)=3.033516
f2(x)=0.356305   f5(x)=0.403015
f2(x)=0.303000   f5(x)=1.674961
f2(x)=0.655908   f5(x)=0.052889
f2(x)=0.769622   f5(x)=0.669390
f2(x)=0.151101   f5(x)=0.928273
f2(x)=0.393374   f5(x)=2.133820
f2(x)=0.113007   f5(x)=0.979777
f2(x)=0.889979   f5(x)=0.550804
f2(x)=0.139041   f5(x)=0.580346
f2(x)=0.706645   f5(x)=0.328600
f2(x)=0.719741   f5(x)=0.864551
f2(x)=0.103603   f5(x)=0.830849
f2(x)=0.667128   f5(x)=0.629963
f2(x)=0.314148   f5(x)=0.606687
f2(x)=0.310139   f5(x)=2.290620
f2(x)=0.845826   f5(x)=0.101461
f2(x)=0.418717   f5(x)=1.014455
f2(x)=0.438553   f5(x)=0.328843
f2(x)=0.722438   f5(x)=0.827414
f2(x)=0.169699   f5(x)=1.609008
f2(x)=0.759115   f5(x)=1.124384
f2(x)=0.261198   f5(x)=0.725348
f2(x)=0.368388   f5(x)=0.297745
f2(x)=0.373442   f5(x)=0.203172
f2(x)=0.811912   f5(x)=0.468637
f2(x)=0.133457   f5(x)=1.665987
f2(x)=0.227520   f5(x)=0.642523
f2(x)=0.835012   f5(x)=0.632602
f2(x)=0.152901   f5(x)=0.525754
f2(x)=0.039336   f5(x)=2.969939
f2(x)=0.791264   f5(x)=0.148626
f2(x)=0.820994   f5(x)=0.381425
f2(x)=0.713268   f5(x)=0.423408
f2(x)=0.493807   f5(x)=0.107846
f2(x)=0.119418   f5(x)=1.855276
f2(x)=0.325275   f5(x)=0.764746
f2(x)=0.207441   f5(x)=1.128934
f2(x)=0.109049   f5(x)=2.488224
f2(x)=0.097409   f5(x)=2.089090
f2(x)=0.260099   f5(x)=1.600923
f2(x)=0.801051   f5(x)=1.032063
f2(x)=0.815925   f5(x)=0.580860
f2(x)=0.456549   f5(x)=0.496711
f2(x)=0.507399   f5(x)=0.508051
f2(x)=0.511449   f5(x)=1.438798
f2(x)=0.797939   f5(x)=1.040444
f2(x)=0.217046   f5(x)=0.646279
f2(x)=0.123883   f5(x)=2.075413
f2(x)=0.241440   f5(x)=2.608876
