f1(x)=0.902437   f2(x)=0.198452
f1(x)=0.982505   f2(x)=0.048908
f1(x)=0.000000   f2(x)=1.009346
f1(x)=0.999999   f2(x)=0.013715
f1(x)=0.499484   f2(x)=0.759387
f1(x)=0.533537   f2(x)=0.724570
f1(x)=0.430434   f2(x)=0.823121
f1(x)=0.668222   f2(x)=0.563692
f1(x)=0.568953   f2(x)=0.685989
f1(x)=0.958290   f2(x)=0.095159
f1(x)=0.836684   f2(x)=0.311876
f1(x)=0.930479   f2(x)=0.147255
f1(x)=0.554602   f2(x)=0.702000
f1(x)=0.244439   f2(x)=0.947746
f1(x)=0.967536   f2(x)=0.077645
f1(x)=0.724421   f2(x)=0.486552
f1(x)=0.029422   f2(x)=1.006201
f1(x)=0.994999   f2(x)=0.024011
f1(x)=0.793287   f2(x)=0.382326
f1(x)=0.681453   f2(x)=0.546147
f1(x)=0.269529   f2(x)=0.934980
f1(x)=0.802171   f2(x)=0.368145
f1(x)=0.448173   f2(x)=0.807728
f1(x)=0.340803   f2(x)=0.892051
f1(x)=0.158542   f2(x)=0.982128
f1(x)=0.843258   f2(x)=0.300714
f1(x)=0.660558   f2(x)=0.574527
f1(x)=0.361077   f2(x)=0.877574
f1(x)=0.547476   f2(x)=0.709744
f1(x)=0.350703   f2(x)=0.884971
f1(x)=0.111665   f2(x)=0.994907
f1(x)=0.652723   f2(x)=0.584107
f1(x)=0.193531   f2(x)=0.970164
f1(x)=0.577622   f2(x)=0.676059
f1(x)=0.825942   f2(x)=0.329657
f1(x)=0.925179   f2(x)=0.157133
f1(x)=0.973216   f2(x)=0.067446
f1(x)=0.000001   f2(x)=1.006965
f1(x)=0.761953   f2(x)=0.430619
f1(x)=0.786259   f2(x)=0.393218
f1(x)=0.986306   f2(x)=0.041163
f1(x)=0.941209   f2(x)=0.127522
f1(x)=0.735614   f2(x)=0.469825
f1(x)=0.420706   f2(x)=0.831566
f1(x)=0.396434   f2(x)=0.851280
f1(x)=0.780703   f2(x)=0.402081
f1(x)=0.877630   f2(x)=0.242209
f1(x)=0.471790   f2(x)=0.786057
f1(x)=0.869493   f2(x)=0.256391
f1(x)=0.601406   f2(x)=0.648321
f1(x)=0.699759   f2(x)=0.520959
f1(x)=0.918863   f2(x)=0.168839
f1(x)=0.172075   f2(x)=0.977628
f1(x)=0.040345   f2(x)=1.005466
f1(x)=0.537418   f2(x)=0.720580
f1(x)=0.403042   f2(x)=0.845796
f1(x)=0.056141   f2(x)=1.003928
f1(x)=0.133154   f2(x)=0.989551
f1(x)=0.950957   f2(x)=0.109078
f1(x)=0.766298   f2(x)=0.424025
f1(x)=0.143062   f2(x)=0.986847
f1(x)=0.645296   f2(x)=0.593601
f1(x)=0.105272   f2(x)=0.996079
f1(x)=0.589892   f2(x)=0.661617
f1(x)=0.894098   f2(x)=0.213378
f1(x)=0.584662   f2(x)=0.667661
f1(x)=0.887037   f2(x)=0.225980
f1(x)=0.372725   f2(x)=0.869264
f1(x)=0.491333   f2(x)=0.767382
f1(x)=0.706734   f2(x)=0.511075
f1(x)=0.910980   f2(x)=0.182962
f1(x)=0.823844   f2(x)=0.333037
f1(x)=0.850191   f2(x)=0.289273
f1(x)=0.385871   f2(x)=0.859420
f1(x)=0.327776   f2(x)=0.900722
f1(x)=0.718427   f2(x)=0.494659
f1(x)=0.753372   f2(x)=0.443589
f1(x)=0.237759   f2(x)=0.951237
f1(x)=0.746094   f2(x)=0.454420
f1(x)=0.603390   f2(x)=0.645675
f1(x)=0.088881   f2(x)=0.999325
f1(x)=0.743946   f2(x)=0.457956
f1(x)=0.305267   f2(x)=0.914498
f1(x)=0.914771   f2(x)=0.175904
f1(x)=0.223408   f2(x)=0.957615
f1(x)=0.858381   f2(x)=0.275966
f1(x)=0.455829   f2(x)=0.801090
f1(x)=0.772959   f2(x)=0.413779
f1(x)=0.640808   f2(x)=0.599740
f1(x)=0.736954   f2(x)=0.467811
f1(x)=0.978623   f2(x)=0.056095
f1(x)=0.371570   f2(x)=0.869957
f1(x)=0.619803   f2(x)=0.625587
f1(x)=0.205737   f2(x)=0.965086
f1(x)=0.947823   f2(x)=0.116350
f1(x)=0.774477   f2(x)=0.411778
f1(x)=0.632653   f2(x)=0.609659
f1(x)=0.816946   f2(x)=0.344408
f1(x)=0.611474   f2(x)=0.635768
f1(x)=0.385919   f2(x)=0.859242
