f1(x)=0.044845   f2(x)=0.788234
f1(x)=0.567000   f2(x)=0.247006
f1(x)=0.000001   f2(x)=0.999000
f1(x)=0.999999   f2(x)=0.000001
f1(x)=0.752135   f2(x)=0.132743
f1(x)=0.346953   f2(x)=0.410973
f1(x)=0.325887   f2(x)=0.429135
f1(x)=0.783268   f2(x)=0.114976
f1(x)=0.386306   f2(x)=0.378465
f1(x)=0.208225   f2(x)=0.543683
f1(x)=0.400526   f2(x)=0.367129
f1(x)=0.001026   f2(x)=0.967963
f1(x)=0.192796   f2(x)=0.560914
f1(x)=0.806777   f2(x)=0.101792
f1(x)=0.026946   f2(x)=0.835849
f1(x)=0.371151   f2(x)=0.390778
f1(x)=0.491497   f2(x)=0.298931
f1(x)=0.361275   f2(x)=0.398938
f1(x)=0.414628   f2(x)=0.356084
f1(x)=0.261871   f2(x)=0.488266
f1(x)=0.312567   f2(x)=0.440923
f1(x)=0.832297   f2(x)=0.087697
f1(x)=0.225556   f2(x)=0.525073
f1(x)=0.680476   f2(x)=0.175090
f1(x)=0.079080   f2(x)=0.718789
f1(x)=0.740528   f2(x)=0.139461
f1(x)=0.274858   f2(x)=0.475731
f1(x)=0.446942   f2(x)=0.331463
f1(x)=0.236945   f2(x)=0.513230
f1(x)=0.435525   f2(x)=0.340057
f1(x)=0.253771   f2(x)=0.496243
f1(x)=0.456732   f2(x)=0.324181
f1(x)=0.217198   f2(x)=0.533954
f1(x)=0.661734   f2(x)=0.186530
f1(x)=0.575748   f2(x)=0.241220
f1(x)=0.705452   f2(x)=0.160088
f1(x)=0.722955   f2(x)=0.149733
f1(x)=0.507502   f2(x)=0.287608
f1(x)=0.872710   f2(x)=0.065810
f1(x)=0.243577   f2(x)=0.506465
f1(x)=0.053874   f2(x)=0.767891
f1(x)=0.588081   f2(x)=0.233135
f1(x)=0.532034   f2(x)=0.270594
f1(x)=0.303918   f2(x)=0.448712
f1(x)=0.006387   f2(x)=0.920080
f1(x)=0.467897   f2(x)=0.315970
f1(x)=0.012377   f2(x)=0.888747
f1(x)=0.004587   f2(x)=0.932273
f1(x)=0.862642   f2(x)=0.071215
f1(x)=0.555071   f2(x)=0.254969
f1(x)=0.844403   f2(x)=0.081086
f1(x)=0.930840   f2(x)=0.035199
f1(x)=0.021061   f2(x)=0.854877
f1(x)=0.149514   f2(x)=0.613330
f1(x)=0.633503   f2(x)=0.204071
f1(x)=0.042401   f2(x)=0.794084
f1(x)=0.727162   f2(x)=0.147262
f1(x)=0.138268   f2(x)=0.628155
f1(x)=0.686797   f2(x)=0.171268
f1(x)=0.984919   f2(x)=0.007569
f1(x)=0.068051   f2(x)=0.739135
f1(x)=0.174638   f2(x)=0.582103
f1(x)=0.032329   f2(x)=0.820197
f1(x)=0.295785   f2(x)=0.456139
f1(x)=0.036820   f2(x)=0.808113
f1(x)=0.524285   f2(x)=0.275925
f1(x)=0.616313   f2(x)=0.214944
f1(x)=0.801941   f2(x)=0.104489
f1(x)=0.648451   f2(x)=0.194736
f1(x)=0.629205   f2(x)=0.206775
f1(x)=0.092551   f2(x)=0.695778
f1(x)=0.101397   f2(x)=0.681571
f1(x)=0.086142   f2(x)=0.706501
f1(x)=0.008959   f2(x)=0.905350
f1(x)=0.290634   f2(x)=0.460895
f1(x)=0.182102   f2(x)=0.573266
f1(x)=0.002394   f2(x)=0.951071
f1(x)=0.185450   f2(x)=0.569361
f1(x)=0.992832   f2(x)=0.003590
f1(x)=0.071806   f2(x)=0.732033
f1(x)=0.016285   f2(x)=0.872387
f1(x)=0.543331   f2(x)=0.262890
f1(x)=0.517244   f2(x)=0.280803
f1(x)=0.974640   f2(x)=0.012762
f1(x)=0.115984   f2(x)=0.659436
f1(x)=0.133543   f2(x)=0.634565
f1(x)=0.885558   f2(x)=0.058959
f1(x)=0.002852   f2(x)=0.946598
f1(x)=0.905602   f2(x)=0.048369
f1(x)=0.424710   f2(x)=0.348302
f1(x)=0.150624   f2(x)=0.611897
f1(x)=0.545216   f2(x)=0.261612
f1(x)=0.595310   f2(x)=0.228437
f1(x)=0.426150   f2(x)=0.347198
f1(x)=0.123089   f2(x)=0.649159
f1(x)=0.020207   f2(x)=0.857847
f1(x)=0.108706   f2(x)=0.670295
f1(x)=0.283522   f2(x)=0.467533
f1(x)=0.061815   f2(x)=0.751375
f1(x)=0.791118   f2(x)=0.110552
