f1(x)=0.780277   f2(x)=0.503042
f1(x)=0.982894   f2(x)=0.169994
f1(x)=0.280775   f2(x)=1.001382
f1(x)=1.000000   f2(x)=0.137329
f1(x)=0.856895   f2(x)=0.385602
f1(x)=0.842972   f2(x)=0.407784
f1(x)=0.515252   f2(x)=0.823671
f1(x)=0.563186   f2(x)=0.775084
f1(x)=0.947799   f2(x)=0.232519
f1(x)=0.828938   f2(x)=0.429850
f1(x)=0.505290   f2(x)=0.833031
f1(x)=0.293772   f2(x)=0.990758
f1(x)=0.774204   f2(x)=0.514137
f1(x)=0.940498   f2(x)=0.245393
f1(x)=0.464873   f2(x)=0.869612
f1(x)=0.549087   f2(x)=0.789538
f1(x)=0.838046   f2(x)=0.415866
f1(x)=0.955207   f2(x)=0.219525
f1(x)=0.928975   f2(x)=0.265765
f1(x)=0.689738   f2(x)=0.628939
f1(x)=0.934817   f2(x)=0.257606
f1(x)=0.683978   f2(x)=0.634893
f1(x)=0.984374   f2(x)=0.166888
f1(x)=0.877609   f2(x)=0.352483
f1(x)=0.640290   f2(x)=0.688791
f1(x)=0.570346   f2(x)=0.767455
f1(x)=0.764739   f2(x)=0.525606
f1(x)=0.596288   f2(x)=0.739250
f1(x)=0.631972   f2(x)=0.698281
f1(x)=0.488846   f2(x)=0.849436
f1(x)=0.385851   f2(x)=0.932592
f1(x)=0.527828   f2(x)=0.811181
f1(x)=0.993293   f2(x)=0.150257
f1(x)=0.884252   f2(x)=0.341206
f1(x)=0.456125   f2(x)=0.877271
f1(x)=0.665107   f2(x)=0.658729
f1(x)=0.812642   f2(x)=0.456639
f1(x)=0.698704   f2(x)=0.615563
f1(x)=0.921604   f2(x)=0.278755
f1(x)=0.475474   f2(x)=0.860231
f1(x)=0.708157   f2(x)=0.603426
f1(x)=0.822729   f2(x)=0.439717
f1(x)=0.866229   f2(x)=0.371303
f1(x)=0.541671   f2(x)=0.797461
f1(x)=0.898580   f2(x)=0.317847
f1(x)=0.532106   f2(x)=0.808609
f1(x)=0.398073   f2(x)=0.923704
f1(x)=0.966853   f2(x)=0.198295
f1(x)=0.863045   f2(x)=0.377740
f1(x)=0.615515   f2(x)=0.717565
f1(x)=0.903270   f2(x)=0.310034
f1(x)=0.657175   f2(x)=0.668522
f1(x)=0.600660   f2(x)=0.734365
f1(x)=0.576916   f2(x)=0.760456
f1(x)=0.404270   f2(x)=0.918575
f1(x)=0.700548   f2(x)=0.613695
f1(x)=0.495546   f2(x)=0.841921
f1(x)=0.581559   f2(x)=0.757059
f1(x)=0.753953   f2(x)=0.540567
f1(x)=0.675664   f2(x)=0.644835
f1(x)=0.323921   f2(x)=0.973079
f1(x)=0.907147   f2(x)=0.302905
f1(x)=0.748124   f2(x)=0.550476
f1(x)=0.373709   f2(x)=0.940724
f1(x)=0.761562   f2(x)=0.529802
f1(x)=0.606696   f2(x)=0.727603
f1(x)=0.734651   f2(x)=0.569480
f1(x)=0.798009   f2(x)=0.477376
f1(x)=0.587554   f2(x)=0.748961
f1(x)=0.806777   f2(x)=0.465552
f1(x)=0.480964   f2(x)=0.856704
f1(x)=0.610249   f2(x)=0.723943
f1(x)=0.345891   f2(x)=0.959773
f1(x)=0.426953   f2(x)=0.901201
f1(x)=0.620984   f2(x)=0.711360
f1(x)=0.791372   f2(x)=0.486790
f1(x)=0.756345   f2(x)=0.537481
f1(x)=0.961323   f2(x)=0.208756
f1(x)=0.872102   f2(x)=0.361267
f1(x)=1.000000   f2(x)=0.139609
f1(x)=0.654860   f2(x)=0.670875
f1(x)=0.313919   f2(x)=0.979613
f1(x)=0.740970   f2(x)=0.560566
f1(x)=0.627684   f2(x)=0.703785
f1(x)=0.993720   f2(x)=0.149335
f1(x)=0.317157   f2(x)=0.977370
f1(x)=0.418987   f2(x)=0.908699
f1(x)=0.306313   f2(x)=0.983487
f1(x)=0.911509   f2(x)=0.297490
f1(x)=0.920089   f2(x)=0.283275
f1(x)=0.816516   f2(x)=0.448871
f1(x)=0.725542   f2(x)=0.580125
f1(x)=0.960327   f2(x)=0.210243
f1(x)=0.804228   f2(x)=0.467714
f1(x)=0.366216   f2(x)=0.946257
f1(x)=0.969865   f2(x)=0.193100
f1(x)=0.354287   f2(x)=0.955425
f1(x)=0.649135   f2(x)=0.678333
f1(x)=0.412770   f2(x)=0.913466
f1(x)=0.799671   f2(x)=0.475034
