f1(x)=0.521965   f2(x)=0.286742
f1(x)=0.270240   f2(x)=0.490847
f1(x)=0.000000   f2(x)=1.014392
f1(x)=0.999999   f2(x)=0.007006
f1(x)=0.078656   f2(x)=0.731841
f1(x)=0.110088   f2(x)=0.680167
f1(x)=0.544465   f2(x)=0.271256
f1(x)=0.579649   f2(x)=0.247587
f1(x)=0.654009   f2(x)=0.199844
f1(x)=0.038356   f2(x)=0.816885
f1(x)=0.472439   f2(x)=0.322088
f1(x)=0.147630   f2(x)=0.627377
f1(x)=0.629581   f2(x)=0.215337
f1(x)=0.370456   f2(x)=0.401145
f1(x)=0.028956   f2(x)=0.842733
f1(x)=0.980200   f2(x)=0.017132
f1(x)=0.449544   f2(x)=0.339092
f1(x)=0.195779   f2(x)=0.568473
f1(x)=0.182916   f2(x)=0.583432
f1(x)=0.067390   f2(x)=0.752823
f1(x)=0.429009   f2(x)=0.354693
f1(x)=0.529759   f2(x)=0.281289
f1(x)=0.064987   f2(x)=0.757402
f1(x)=0.383456   f2(x)=0.390739
f1(x)=0.826130   f2(x)=0.098970
f1(x)=0.160050   f2(x)=0.611322
f1(x)=0.252819   f2(x)=0.507933
f1(x)=0.044194   f2(x)=0.802517
f1(x)=0.849049   f2(x)=0.086194
f1(x)=0.838333   f2(x)=0.092278
f1(x)=0.511241   f2(x)=0.294279
f1(x)=0.600140   f2(x)=0.234077
f1(x)=0.757801   f2(x)=0.137542
f1(x)=0.315898   f2(x)=0.448191
f1(x)=0.670008   f2(x)=0.189922
f1(x)=0.391018   f2(x)=0.384487
f1(x)=0.230702   f2(x)=0.530321
f1(x)=0.611492   f2(x)=0.226920
f1(x)=0.054865   f2(x)=0.778172
f1(x)=0.894175   f2(x)=0.062009
f1(x)=0.359829   f2(x)=0.410164
f1(x)=0.941289   f2(x)=0.037267
f1(x)=0.216425   f2(x)=0.545584
f1(x)=0.001782   f2(x)=0.971698
f1(x)=0.501660   f2(x)=0.301149
f1(x)=0.726959   f2(x)=0.155577
f1(x)=0.402313   f2(x)=0.375722
f1(x)=0.768475   f2(x)=0.131374
f1(x)=0.244551   f2(x)=0.516307
f1(x)=0.140470   f2(x)=0.636724
f1(x)=0.877587   f2(x)=0.070869
f1(x)=0.285995   f2(x)=0.475737
f1(x)=0.494768   f2(x)=0.305972
f1(x)=0.703676   f2(x)=0.169419
f1(x)=0.004337   f2(x)=0.947871
f1(x)=0.302722   f2(x)=0.460073
f1(x)=0.910824   f2(x)=0.053172
f1(x)=0.000100   f2(x)=1.003945
f1(x)=0.802153   f2(x)=0.112317
f1(x)=0.963665   f2(x)=0.025673
f1(x)=0.953373   f2(x)=0.030858
f1(x)=0.925704   f2(x)=0.045289
f1(x)=0.619943   f2(x)=0.221218
f1(x)=0.337918   f2(x)=0.428698
f1(x)=0.814503   f2(x)=0.105457
f1(x)=0.712627   f2(x)=0.164174
f1(x)=0.135632   f2(x)=0.643318
f1(x)=0.440839   f2(x)=0.345515
f1(x)=0.861675   f2(x)=0.079544
f1(x)=0.127314   f2(x)=0.654796
f1(x)=0.485903   f2(x)=0.312335
f1(x)=0.927069   f2(x)=0.044617
f1(x)=0.325724   f2(x)=0.439566
f1(x)=0.480868   f2(x)=0.315816
f1(x)=0.418943   f2(x)=0.362329
f1(x)=0.014276   f2(x)=0.893911
f1(x)=0.295615   f2(x)=0.466564
f1(x)=0.006967   f2(x)=0.930164
f1(x)=0.118651   f2(x)=0.667375
f1(x)=0.262747   f2(x)=0.498095
f1(x)=0.794129   f2(x)=0.116751
f1(x)=0.775649   f2(x)=0.127346
f1(x)=0.120019   f2(x)=0.665469
f1(x)=0.021700   f2(x)=0.866002
f1(x)=0.675043   f2(x)=0.186787
f1(x)=0.781886   f2(x)=0.123712
f1(x)=0.004372   f2(x)=0.947805
f1(x)=0.746910   f2(x)=0.143905
f1(x)=0.348426   f2(x)=0.419688
f1(x)=0.049073   f2(x)=0.791402
f1(x)=0.810291   f2(x)=0.107641
f1(x)=0.788520   f2(x)=0.119907
f1(x)=0.864746   f2(x)=0.077799
f1(x)=0.013119   f2(x)=0.898791
f1(x)=0.947263   f2(x)=0.034133
f1(x)=0.281394   f2(x)=0.480027
f1(x)=0.339263   f2(x)=0.427519
f1(x)=0.000663   f2(x)=0.988278
f1(x)=0.209717   f2(x)=0.553057
f1(x)=0.874093   f2(x)=0.072767
